name1	name2	concentration1	concentration2
Манчестер Юнайтед	Манчестер Сити	1.0	0.8
Манчестер Юнайтед	Челси	1.0	0.8
Манчестер Юнайтед	Арсенал	1.0	0.19999999999999996
Манчестер Юнайтед	Тоттенхэм Хотспур	1.0	1.0
Манчестер Юнайтед	Эвертон	1.0	1.0
Манчестер Юнайтед	Ливерпуль	1.0	1.0
Манчестер Юнайтед	Вест Бромвич Альбион	1.0	1.0
Манчестер Юнайтед	Суонси Сити	1.0	1.0
Манчестер Юнайтед	Вест Хэм Юнайтед	0.19999999999999996	0.8
Манчестер Юнайтед	Норвич Сити	1.0	1.0
Манчестер Юнайтед	Фулхэм	1.0	1.0
Манчестер Юнайтед	Сток Сити	1.0	1.0
Манчестер Юнайтед	Саутгемптон	1.0	1.0
Манчестер Юнайтед	Астон Вилла	1.0	1.0
Манчестер Юнайтед	Ньюкасл Юнайтед	1.0	1.0
Манчестер Юнайтед	Сандерленд	0.8	1.0
Манчестер Юнайтед	Уиган Атлетик	1.0	1.0
Манчестер Юнайтед	Рединг	1.0	1.0
Манчестер Юнайтед	Куинз Парк Рейнджерс	0.0	1.0
Манчестер Сити	Манчестер Юнайтед	1.0	0.6
Манчестер Сити	Челси	0.0	0.19999999999999996
Манчестер Сити	Арсенал	1.0	1.0
Манчестер Сити	Тоттенхэм Хотспур	1.0	0.0
Манчестер Сити	Эвертон	1.0	0.4
Манчестер Сити	Ливерпуль	1.0	1.0
Манчестер Сити	Вест Бромвич Альбион	1.0	0.0
Манчестер Сити	Суонси Сити	1.0	0.8
Манчестер Сити	Вест Хэм Юнайтед	1.0	1.0
Манчестер Сити	Норвич Сити	1.0	1.0
Манчестер Сити	Фулхэм	0.6	1.0
Манчестер Сити	Сток Сити	0.19999999999999996	1.0
Манчестер Сити	Саутгемптон	1.0	1.0
Манчестер Сити	Астон Вилла	1.0	1.0
Манчестер Сити	Ньюкасл Юнайтед	0.6	1.0
Манчестер Сити	Сандерленд	1.0	1.0
Манчестер Сити	Уиган Атлетик	1.0	1.0
Манчестер Сити	Рединг	1.0	1.0
Манчестер Сити	Куинз Парк Рейнджерс	1.0	1.0
Челси	Манчестер Юнайтед	1.0	1.0
Челси	Манчестер Сити	1.0	1.0
Челси	Арсенал	0.4	1.0
Челси	Тоттенхэм Хотспур	1.0	1.0
Челси	Эвертон	1.0	0.6
Челси	Ливерпуль	1.0	1.0
Челси	Вест Бромвич Альбион	0.4	1.0
Челси	Суонси Сити	0.6	1.0
Челси	Вест Хэм Юнайтед	0.6	0.4
Челси	Норвич Сити	1.0	1.0
Челси	Фулхэм	1.0	1.0
Челси	Сток Сити	1.0	1.0
