name1	name2	history	result
Манчестер Юнайтед	Манчестер Сити	0.5	0
Манчестер Юнайтед	Челси	0.25	0
Манчестер Юнайтед	Арсенал	1.0	1
Манчестер Юнайтед	Тоттенхэм Хотспур	1.0	0
Манчестер Юнайтед	Эвертон	0.25	1
Манчестер Юнайтед	Ливерпуль	1.0	1
Манчестер Юнайтед	Вест Бромвич Альбион	1.0	1
Манчестер Юнайтед	Суонси Сити	0.75	1
Манчестер Юнайтед	Вест Хэм Юнайтед	0.5	1
Манчестер Юнайтед	Норвич Сити	0.5	1
Манчестер Юнайтед	Фулхэм	1.0	1
Манчестер Юнайтед	Сток Сити	0.75	1
Манчестер Юнайтед	Саутгемптон	0.5	1
Манчестер Юнайтед	Астон Вилла	1.0	1
Манчестер Юнайтед	Ньюкасл Юнайтед	1.0	1
Манчестер Юнайтед	Сандерленд	1.0	1
Манчестер Юнайтед	Уиган Атлетик	0.5	1
Манчестер Юнайтед	Рединг	1.0	1
Манчестер Юнайтед	Куинз Парк Рейнджерс	1.0	1
Манчестер Сити	Манчестер Юнайтед	0.5	0
Манчестер Сити	Челси	0.75	1
Манчестер Сити	Арсенал	0.5	0.5
Манчестер Сити	Тоттенхэм Хотспур	1.0	1
Манчестер Сити	Эвертон	0.5	0.5
Манчестер Сити	Ливерпуль	0.5	0.5
Манчестер Сити	Вест Бромвич Альбион	1.0	1
Манчестер Сити	Суонси Сити	0.5	1
Манчестер Сити	Вест Хэм Юнайтед	0.75	1
Манчестер Сити	Норвич Сити	1.0	0
Манчестер Сити	Фулхэм	1.0	1
Манчестер Сити	Сток Сити	0.5	1
Манчестер Сити	Астон Вилла	0.5	1
Манчестер Сити	Ньюкасл Юнайтед	1.0	1
Манчестер Сити	Сандерленд	0.25	1
Манчестер Сити	Уиган Атлетик	1.0	1
Манчестер Сити	Рединг	0.5	1
Манчестер Сити	Куинз Парк Рейнджерс	1.0	1
Челси	Манчестер Юнайтед	0.25	0
Челси	Манчестер Сити	0.0	0.5
Челси	Арсенал	0.75	1
Челси	Тоттенхэм Хотспур	1.0	0.5
Челси	Эвертон	0.5	1
Челси	Ливерпуль	0.5	0.5
Челси	Вест Бромвич Альбион	0.0	1
Челси	Суонси Сити	0.25	1
Челси	Вест Хэм Юнайтед	0.5	1
Челси	Норвич Сити	0.75	1
Челси	Фулхэм	0.5	0.5
Челси	Сток Сити	0.75	1
Челси	Саутгемптон	0.5	0.5
Челси	Астон Вилла	0.5	1
Челси	Ньюкасл Юнайтед	0.5	1
Челси	Сандерленд	1.0	1
Челси	Уиган Атлетик	1.0	1
Челси	Рединг	1.0	1
Челси	Куинз Парк Рейнджерс	0.75	0
Арсенал	Манчестер Юнайтед	0.0	0.5
Арсенал	Манчестер Сити	0.75	0
Арсенал	Челси	0.75	0
Арсенал	Тоттенхэм Хотспур	0.5	1
Арсенал	Эвертон	0.75	0.5
Арсенал	Ливерпуль	1.0	0.5
Арсенал	Вест Бромвич Альбион	1.0	1
Арсенал	Суонси Сити	0.5	0
Арсенал	Вест Хэм Юнайтед	1.0	1
Арсенал	Норвич Сити	0.25	1
Арсенал	Фулхэм	0.25	0.5
Арсенал	Сток Сити	0.5	1
Арсенал	Астон Вилла	0.75	1
Арсенал	Ньюкасл Юнайтед	0.75	1
Арсенал	Сандерленд	0.5	0.5
Арсенал	Уиган Атлетик	0.5	1
Арсенал	Рединг	1.0	1
Арсенал	Куинз Парк Рейнджерс	0.5	1
Тоттенхэм Хотспур	Манчестер Юнайтед	0.5	0.5
Тоттенхэм Хотспур	Манчестер Сити	0.0	1
Тоттенхэм Хотспур	Челси	0.25	0
Тоттенхэм Хотспур	Арсенал	0.0	1
Тоттенхэм Хотспур	Эвертон	0.0	0.5
Тоттенхэм Хотспур	Ливерпуль	0.75	1
Тоттенхэм Хотспур	Вест Бромвич Альбион	1.0	0.5
Тоттенхэм Хотспур	Суонси Сити	0.75	1
Тоттенхэм Хотспур	Вест Хэм Юнайтед	0.25	1
Тоттенхэм Хотспур	Норвич Сити	0.5	0.5
Тоттенхэм Хотспур	Фулхэм	1.0	0
Тоттенхэм Хотспур	Сток Сити	0.25	0.5
Тоттенхэм Хотспур	Саутгемптон	0.5	1
Тоттенхэм Хотспур	Астон Вилла	0.75	1
Тоттенхэм Хотспур	Ньюкасл Юнайтед	0.5	1
Тоттенхэм Хотспур	Сандерленд	0.75	1
Тоттенхэм Хотспур	Уиган Атлетик	1.0	0
Тоттенхэм Хотспур	Рединг	1.0	1
Тоттенхэм Хотспур	Куинз Парк Рейнджерс	0.5	1
Эвертон	Манчестер Юнайтед	0.25	1
Эвертон	Манчестер Сити	0.75	1
Эвертон	Челси	0.5	0
Эвертон	Арсенал	0.0	0.5
Эвертон	Тоттенхэм Хотспур	0.5	1
Эвертон	Ливерпуль	0.0	0.5
Эвертон	Вест Бромвич Альбион	0.5	1
Эвертон	Суонси Сити	1.0	0.5
Эвертон	Вест Хэм Юнайтед	0.75	1
Эвертон	Норвич Сити	0.5	0.5
Эвертон	Фулхэм	0.75	1
Эвертон	Сток Сити	0.5	1
Эвертон	Астон Вилла	0.75	0.5
Эвертон	Ньюкасл Юнайтед	0.5	0.5
Эвертон	Сандерленд	1.0	1
Эвертон	Уиган Атлетик	0.5	1
Эвертон	Рединг	0.0	1
Эвертон	Куинз Парк Рейнджерс	0.5	1
Ливерпуль	Манчестер Юнайтед	0.5	0
Ливерпуль	Манчестер Сити	0.75	0.5
Ливерпуль	Челси	0.75	0.5
Ливерпуль	Арсенал	0.5	0
Ливерпуль	Тоттенхэм Хотспур	0.25	1
Ливерпуль	Эвертон	0.75	0.5
Ливерпуль	Вест Бромвич Альбион	0.5	0
Ливерпуль	Суонси Сити	0.25	1
Ливерпуль	Вест Хэм Юнайтед	0.5	0.5
Ливерпуль	Норвич Сити	1.0	1
Ливерпуль	Фулхэм	0.0	1
Ливерпуль	Сток Сити	0.75	0.5
Ливерпуль	Астон Вилла	0.75	0
Ливерпуль	Ньюкасл Юнайтед	0.5	0.5
Ливерпуль	Сандерленд	0.25	1
Ливерпуль	Уиган Атлетик	0.25	1
Ливерпуль	Рединг	0.5	1
Ливерпуль	Куинз Парк Рейнджерс	0.5	1
Вест Бромвич Альбион	Манчестер Юнайтед	0.0	0.5
Вест Бромвич Альбион	Манчестер Сити	0.25	0
Вест Бромвич Альбион	Челси	0.5	1
Вест Бромвич Альбион	Арсенал	0.0	0
Вест Бромвич Альбион	Тоттенхэм Хотспур	0.25	0
Вест Бромвич Альбион	Эвертон	0.0	1
Вест Бромвич Альбион	Ливерпуль	0.5	1
Вест Бромвич Альбион	Суонси Сити	0.0	1
Вест Бромвич Альбион	Вест Хэм Юнайтед	0.5	0.5
Вест Бромвич Альбион	Норвич Сити	0.0	1
Вест Бромвич Альбион	Фулхэм	0.25	0
Вест Бромвич Альбион	Сток Сити	0.5	0
Вест Бромвич Альбион	Астон Вилла	0.5	0.5
Вест Бромвич Альбион	Ньюкасл Юнайтед	0.0	0.5
Вест Бромвич Альбион	Сандерленд	1.0	1
Вест Бромвич Альбион	Уиган Атлетик	0.75	0
Вест Бромвич Альбион	Рединг	0.25	1
Вест Бромвич Альбион	Куинз Парк Рейнджерс	0.75	1
Суонси Сити	Манчестер Юнайтед	0.0	0.5
Суонси Сити	Манчестер Сити	0.5	0.5
Суонси Сити	Челси	0.25	0.5
Суонси Сити	Арсенал	0.25	0
Суонси Сити	Тоттенхэм Хотспур	0.0	0
Суонси Сити	Эвертон	0.0	0
Суонси Сити	Ливерпуль	1.0	0.5
Суонси Сити	Вест Бромвич Альбион	1.0	1
Суонси Сити	Норвич Сити	0.0	0
