name1	name2	form1	form2	result	concentration1	concentration2	goal_diff	score_diff	history	motivation1	motivation2
Манчестер Сити	Ливерпуль	0.9	0.8	1.0	1.0	0.8	0.5816326530612245	0.4807692307692308	0.5	0.9841269841269842	0.9841269841269842
Манчестер Сити	Челси	1.0	0.9	0.0	1.0	1.0	0.5954545454545455	0.5357142857142857	0.5	0.9555555555555556	0.9555555555555556
Манчестер Сити	Арсенал	0.7	0.7	1.0	0.8	1.0	0.5795454545454546	0.3888888888888889	0.5	0.9855072463768116	0.927536231884058
Манчестер Сити	Эвертон	0.5	0.8	1.0	0.0	1.0	0.6176470588235294	0.4285714285714286	0.25	0.0	0.0
Манчестер Сити	Тоттенхэм Хотспур	0.6	0.5	1.0	0.0	0.8	0.703125	0.4761904761904762	0.5	0.0	0.0
Манчестер Сити	Саутгемптон	0.9	0.6	1.0	1.0	1.0	0.7287234042553191	0.7021276595744681	0.25	0.8888888888888888	0.5555555555555556
Манчестер Сити	Сток Сити	0.7	0.4	1.0	1.0	0.8	0.8767123287671232	0.8648648648648649	0.75	0.9722222222222222	0.9166666666666666
Манчестер Сити	Суонси Сити	0.6	0.6	1.0	0.2	1.0	0.7763157894736843	0.6458333333333334	0.75	0.0	0.0
Манчестер Сити	Вест Хэм Юнайтед	0.9	0.2	1.0	1.0	1.0	0.8333333333333333	0.9056603773584906	1.0	1.0	1.0
Манчестер Сити	Сандерленд	0.7	0.0	0.5	1.0	1.0	0.9202127659574468	0.9326923076923076	0.5	0.9230769230769232	0.8717948717948718
Манчестер Сити	Астон Вилла	0.7	0.3	1.0	1.0	0.8	0.8557692307692308	0.9117647058823528	0.5	0.9666666666666668	0.9
Манчестер Сити	Вест Бромвич Альбион	0.6	0.6	1.0	1.0	1.0	0.8385416666666667	0.8725490196078431	1.0	1.0	1.0
Манчестер Сити	Норвич Сити	0.6	0.3	1.0	0.6	1.0	0.8400000000000001	0.7105263157894737	0.5	0.0	0.0
Манчестер Сити	Фулхэм	0.7	0.3	1.0	1.0	1.0	1.0	0.9285714285714286	1.0	0.9166666666666666	0.9583333333333334
Манчестер Сити	Кардифф Сити	1.0	0.1	1.0	1.0	1.0	0.9583333333333331	0.967741935483871	0.0	0.9803921568627452	0.5686274509803921
Ливерпуль	Манчестер Сити	1.0	0.9	1.0	1.0	1.0	0.4736842105263158	0.5408163265306123	0.25	1.0	1.0
Ливерпуль	Челси	1.0	0.6	0.0	1.0	0.0	0.5561224489795918	0.5490196078431373	0.25	1.0	1.0
Ливерпуль	Арсенал	0.8	0.9	1.0	1.0	1.0	0.5208333333333334	0.3888888888888889	0.25	0.9523809523809524	0.9523809523809524
Ливерпуль	Эвертон	0.5	0.6	1.0	1.0	0.8	0.6363636363636364	0.5588235294117647	0.5	1.0	1.0
Ливерпуль	Тоттенхэм Хотспур	1.0	0.4	1.0	1.0	0.8	0.7445652173913043	0.6333333333333333	1.0	0.9523809523809524	0.9523809523809524
Ливерпуль	Ньюкасл Юнайтед	0.7	0.2	1.0	1.0	1.0	0.8009259259259259	0.8018867924528301	0.75	1.0	1.0
Ливерпуль	Суонси Сити	0.8	0.5	1.0	1.0	1.0	0.75	0.8205128205128205	0.75	0.9166666666666666	0.9166666666666666
Ливерпуль	Вест Хэм Юнайтед	0.5	0.3	1.0	0.2	1.0	0.686046511627907	0.7692307692307692	0.75	0.0	0.0
Ливерпуль	Сандерленд	1.0	0.3	1.0	1.0	1.0	0.8181818181818181	0.9107142857142856	1.0	0.9333333333333332	0.9333333333333332
Ливерпуль	Астон Вилла	0.6	0.3	0.5	1.0	1.0	0.7666666666666666	0.8064516129032258	1.0	0.9803921568627452	0.9019607843137256
Ливерпуль	Халл Сити	0.6	0.5	1.0	1.0	1.0	0.7	0.7321428571428572	0.25	0.9824561403508772	0.8771929824561403
Ливерпуль	Вест Бромвич Альбион	0.6	0.7	1.0	0.6	1.0	0.5961538461538461	0.6944444444444444	0.5	0.0	0.0
Ливерпуль	Норвич Сити	0.5	0.5	1.0	0.0	1.0	0.7560975609756098	0.7173913043478259	1.0	0.0	0.0
Ливерпуль	Фулхэм	0.7	0.4	1.0	1.0	1.0	0.6875	0.7272727272727273	1.0	0.0	0.0
Ливерпуль	Кардифф Сити	0.7	0.4	1.0	0.6	1.0	0.8297872340425532	0.8076923076923077	0.25	0.9848484848484848	0.9545454545454546
Челси	Манчестер Сити	0.7	0.7	1.0	0.8	0.4	0.4615384615384616	0.5238095238095238	0.0	0.0	0.0
Челси	Ливерпуль	0.7	0.8	1.0	0.6	1.0	0.4363636363636364	0.5185185185185185	0.5	0.9833333333333332	0.9833333333333332
Челси	Арсенал	0.7	0.5	1.0	0.0	0.2	0.5506329113924051	0.5476190476190477	0.75	1.0	1.0
Челси	Эвертон	0.8	0.5	1.0	1.0	1.0	0.6095890410958904	0.6621621621621622	0.5	0.9722222222222222	0.8611111111111112
Челси	Тоттенхэм Хотспур	0.9	0.7	1.0	1.0	0.2	0.6710526315789473	0.6190476190476191	0.5	0.8666666666666667	0.8666666666666667
Челси	Манчестер Юнайтед	0.9	0.8	1.0	1.0	1.0	0.578125	0.6363636363636364	0.75	0.9411764705882352	0.9411764705882352
Челси	Саутгемптон	0.7	0.6	1.0	0.4	1.0	0.5394736842105263	0.5416666666666666	0.25	0.0	0.0
Челси	Сток Сити	0.6	0.9	1.0	0.0	1.0	0.7446808510638298	0.8085106382978724	0.5	0.8888888888888888	0.38888888888888895
Челси	Ньюкасл Юнайтед	0.9	0.3	1.0	1.0	0.0	0.6597222222222222	0.7222222222222222	0.0	0.9523809523809524	0.8333333333333333
Челси	Суонси Сити	0.7	0.4	1.0	0.4	1.0	0.6428571428571428	0.7692307692307692	0.75	0.9841269841269842	0.9047619047619048
Челси	Вест Хэм Юнайтед	1.0	0.3	0.5	1.0	1.0	0.7575757575757576	0.9558823529411764	1.0	0.9791666666666666	0.9791666666666666
Челси	Сандерленд	0.6	0.1	0.0	0.4	1.0	0.8563829787234043	0.9803921568627452	0.5	1.0	1.0
Челси	Вест Бромвич Альбион	0.7	0.6	0.5	0.0	1.0	0.625	0.6590909090909091	0.5	0.0	0.0
