name1	name2	concentration1	concentration2
Манчестер Сити	Ливерпуль	1.0	0.8
Манчестер Сити	Челси	1.0	1.0
Манчестер Сити	Арсенал	0.8	1.0
Манчестер Сити	Эвертон	0.0	1.0
Манчестер Сити	Тоттенхэм Хотспур	0.0	0.8
Манчестер Сити	Манчестер Юнайтед	0.4	1.0
Манчестер Сити	Саутгемптон	1.0	1.0
Манчестер Сити	Сток Сити	1.0	0.8
Манчестер Сити	Ньюкасл Юнайтед	1.0	1.0
Манчестер Сити	Кристал Пэлас	1.0	1.0
Манчестер Сити	Суонси Сити	0.19999999999999996	1.0
Манчестер Сити	Вест Хэм Юнайтед	1.0	1.0
Манчестер Сити	Сандерленд	1.0	1.0
Манчестер Сити	Астон Вилла	1.0	0.8
Манчестер Сити	Халл Сити	0.0	1.0
Манчестер Сити	Вест Бромвич Альбион	1.0	1.0
Манчестер Сити	Норвич Сити	0.6	1.0
Манчестер Сити	Фулхэм	1.0	1.0
Манчестер Сити	Кардифф Сити	1.0	1.0
Ливерпуль	Манчестер Сити	1.0	1.0
Ливерпуль	Челси	1.0	0.0
Ливерпуль	Арсенал	1.0	1.0
Ливерпуль	Эвертон	1.0	0.8
Ливерпуль	Тоттенхэм Хотспур	1.0	0.8
Ливерпуль	Манчестер Юнайтед	1.0	1.0
Ливерпуль	Саутгемптон	1.0	0.19999999999999996
Ливерпуль	Сток Сити	1.0	1.0
Ливерпуль	Ньюкасл Юнайтед	1.0	1.0
Ливерпуль	Кристал Пэлас	0.19999999999999996	1.0
Ливерпуль	Суонси Сити	1.0	1.0
Ливерпуль	Вест Хэм Юнайтед	0.19999999999999996	1.0
Ливерпуль	Сандерленд	1.0	1.0
Ливерпуль	Астон Вилла	1.0	1.0
Ливерпуль	Халл Сити	1.0	1.0
Ливерпуль	Вест Бромвич Альбион	0.6	1.0
Ливерпуль	Норвич Сити	0.0	1.0
Ливерпуль	Фулхэм	1.0	1.0
Ливерпуль	Кардифф Сити	0.6	1.0
Челси	Манчестер Сити	0.8	0.4
Челси	Ливерпуль	0.6	1.0
Челси	Арсенал	0.0	0.19999999999999996
Челси	Эвертон	1.0	1.0
Челси	Тоттенхэм Хотспур	1.0	0.19999999999999996
Челси	Манчестер Юнайтед	1.0	1.0
Челси	Саутгемптон	0.4	1.0
Челси	Сток Сити	0.0	1.0
Челси	Ньюкасл Юнайтед	1.0	0.0
Челси	Кристал Пэлас	0.0	1.0
Челси	Суонси Сити	0.4	1.0
Челси	Вест Хэм Юнайтед	1.0	1.0
Челси	Сандерленд	0.4	1.0
Челси	Астон Вилла	1.0	1.0
Челси	Халл Сити	1.0	1.0
Челси	Вест Бромвич Альбион	0.0	1.0
Челси	Норвич Сити	0.19999999999999996	1.0
Челси	Фулхэм	0.0	0.4
Челси	Кардифф Сити	0.6	1.0
Арсенал	Манчестер Сити	0.6	1.0
Арсенал	Ливерпуль	1.0	0.8
Арсенал	Челси	1.0	0.19999999999999996
Арсенал	Эвертон	1.0	1.0
Арсенал	Тоттенхэм Хотспур	1.0	1.0
Арсенал	Манчестер Юнайтед	1.0	0.19999999999999996
Арсенал	Саутгемптон	1.0	1.0
Арсенал	Сток Сити	1.0	1.0
Арсенал	Ньюкасл Юнайтед	1.0	1.0
Арсенал	Кристал Пэлас	1.0	1.0
Арсенал	Суонси Сити	0.4	1.0
Арсенал	Вест Хэм Юнайтед	1.0	1.0
Арсенал	Сандерленд	1.0	1.0
Арсенал	Астон Вилла	1.0	1.0
Арсенал	Халл Сити	1.0	0.19999999999999996
Арсенал	Вест Бромвич Альбион	1.0	1.0
Арсенал	Норвич Сити	1.0	1.0
Арсенал	Фулхэм	1.0	1.0
Арсенал	Кардифф Сити	1.0	1.0
Эвертон	Манчестер Сити	1.0	1.0
Эвертон	Ливерпуль	1.0	1.0
Эвертон	Челси	1.0	1.0
Эвертон	Арсенал	1.0	0.8
Эвертон	Тоттенхэм Хотспур	1.0	0.4
Эвертон	Манчестер Юнайтед	1.0	1.0
Эвертон	Саутгемптон	0.0	1.0
Эвертон	Сток Сити	1.0	1.0
Эвертон	Ньюкасл Юнайтед	1.0	0.0
Эвертон	Кристал Пэлас	1.0	1.0
Эвертон	Суонси Сити	1.0	1.0
Эвертон	Вест Хэм Юнайтед	1.0	1.0
Эвертон	Сандерленд	1.0	1.0
Эвертон	Астон Вилла	1.0	1.0
Эвертон	Халл Сити	1.0	1.0
Эвертон	Вест Бромвич Альбион	1.0	1.0
Эвертон	Норвич Сити	0.4	1.0
Эвертон	Фулхэм	1.0	1.0
Эвертон	Кардифф Сити	1.0	1.0
