name1	name2	form1	form2	result
Манчестер Сити	Ливерпуль	0.9	0.8	1
Манчестер Сити	Челси	1.0	0.9	0
Манчестер Сити	Арсенал	0.7	0.7	1
Манчестер Сити	Эвертон	0.5	0.8	1
Манчестер Сити	Тоттенхэм Хотспур	0.6	0.5	1
Манчестер Сити	Саутгемптон	0.9	0.6	1
Манчестер Сити	Сток Сити	0.7	0.4	1
Манчестер Сити	Кристал Пэлас	0.9	0.6	1
Манчестер Сити	Суонси Сити	0.6	0.6	1
Манчестер Сити	Вест Хэм Юнайтед	0.9	0.2	1
Манчестер Сити	Сандерленд	0.7	0.0	0.5
Манчестер Сити	Астон Вилла	0.7	0.3	1
Манчестер Сити	Вест Бромвич Альбион	0.6	0.6	1
Манчестер Сити	Норвич Сити	0.6	0.3	1
Манчестер Сити	Фулхэм	0.7	0.3	1
Манчестер Сити	Кардифф Сити	1.0	0.1	1
Ливерпуль	Манчестер Сити	1.0	0.9	1
Ливерпуль	Челси	1.0	0.6	0
Ливерпуль	Арсенал	0.8	0.9	1
Ливерпуль	Эвертон	0.5	0.6	1
Ливерпуль	Тоттенхэм Хотспур	1.0	0.4	1
Ливерпуль	Ньюкасл Юнайтед	0.7	0.2	1
Ливерпуль	Кристал Пэлас	0.7	0.2	1
Ливерпуль	Суонси Сити	0.8	0.5	1
Ливерпуль	Вест Хэм Юнайтед	0.5	0.3	1
Ливерпуль	Сандерленд	1.0	0.3	1
Ливерпуль	Астон Вилла	0.6	0.3	0.5
Ливерпуль	Халл Сити	0.6	0.5	1
Ливерпуль	Вест Бромвич Альбион	0.6	0.7	1
Ливерпуль	Норвич Сити	0.5	0.5	1
Ливерпуль	Фулхэм	0.7	0.4	1
Ливерпуль	Кардифф Сити	0.7	0.4	1
Челси	Манчестер Сити	0.7	0.7	1
Челси	Ливерпуль	0.7	0.8	1
Челси	Арсенал	0.7	0.5	1
Челси	Эвертон	0.8	0.5	1
Челси	Тоттенхэм Хотспур	0.9	0.7	1
Челси	Манчестер Юнайтед	0.9	0.8	1
